Year,Holdeplassnavn,Holdeplassid,KommuneNavn,NsrQuayID,Longitude,Latitude,Snitt påstigende pr dag,Snitt avstigende pr dag,Snitt ombord pr dag,Totalt påstigende,Totalt avstigende
2023,Høyland grustak,12452639,Øygarden,NSR:Quay:50798,"5,1501","60,20224",4,7,"119,8",1143,1711
2023,Høyland grustak,12452642,Øygarden,NSR:Quay:50797,"5,14961","60,20183",6,4,"140,2",1444,1136
2023,Høyland kryss,12636705,Alver,NSR:Quay:57208,"5,3627","60,6346",3,0,"19,0",754,19
2023,Høyland kryss,12636706,Alver,NSR:Quay:57209,"5,36262","60,63477",0,2,"11,3",8,575
2023,Høyland nord,12636703,Alver,NSR:Quay:57206,"5,37169","60,6298",3,0,"20,6",629,6
2023,Høyland nord,12636704,Alver,NSR:Quay:57207,"5,37095","60,63023",0,1,"12,7",1,257
2023,Høyland sør,12636701,Alver,NSR:Quay:57199,"5,37266","60,62803",0,0,"20,7",16,1
2023,Høyland sør,12636702,Alver,NSR:Quay:57198,"5,37283","60,62812",0,2,"13,3",5,510
2023,"Høyland, sør",12452635,Øygarden,NSR:Quay:50786,"5,14858","60,19288",0,2,"122,9",58,626
2023,"Høyland, sør",12452638,Øygarden,NSR:Quay:50785,"5,14827","60,19277",1,1,"143,0",312,133
2023,Høylandsmyr,12636730,Alver,NSR:Quay:57249,"5,36219","60,63452",0,1,"3,2",4,133
2023,Høylandsmyr,12636739,Alver,NSR:Quay:57250,"5,362","60,63459",0,0,"3,8",12,3
2023,Høylandstemmo,12636732,Alver,NSR:Quay:57258,"5,35698","60,63171",0,0,"3,6",0,2
2023,Høylandstemmo,12636741,Alver,NSR:Quay:57259,"5,35564","60,63225",0,0,"3,8",0,0
2023,Håkonshella,12012386,Bergen,NSR:Quay:55322,"5,17962","60,34651",34,28,"109,1",8754,7274
2023,Håkonshellaveien,12012397,Bergen,NSR:Quay:55346,"5,18977","60,34515",1,10,"154,7",263,2667
2023,Håland,12604404,Alver,NSR:Quay:52594,"4,96023","60,67554",1,0,"30,9",171,43
2023,Håland,12604417,Alver,NSR:Quay:52595,"4,96033","60,67536",0,0,"25,2",43,5
2023,Håland kryss,12604408,Alver,NSR:Quay:52215,"4,95136","60,67922",1,1,"31,1",188,204
2023,Håland kryss,12604413,Alver,NSR:Quay:52217,"4,95103","60,67918",1,1,"41,9",137,186
2023,Håland kryss,12604430,Alver,NSR:Quay:52216,"4,95135","60,67915",0,0,"4,0",63,2
2023,Håland nord,12604406,Alver,NSR:Quay:57607,"4,95561","60,6775",0,0,"31,1",86,22
2023,Håland nord,12604415,Alver,NSR:Quay:57606,"4,95543","60,67744",0,0,"25,0",0,2
2023,Håland sør,12604402,Alver,NSR:Quay:57593,"4,96466","60,67315",0,2,"38,8",30,543
2023,Håland sør,12604419,Alver,NSR:Quay:57594,"4,96454","60,67304",1,2,"27,9",356,506
2023,Hålandskiftet,12015679,Bergen,NSR:Quay:50928,"5,5057","60,31199",0,0,"10,4",12,0
2023,Hålandskiftet,12016634,Bergen,NSR:Quay:50929,"5,5059","60,31196",0,0,"7,6",0,86
2023,Håsteins gate,12015708,Bergen,NSR:Quay:51010,"5,29659","60,38697",2,0,"9,7",252,58
2023,Håtuft,12563126,Alver,NSR:Quay:58388,"5,14038","60,56174",6,7,"33,2",1475,1757
2023,Håvardstun vest,12015613,Bergen,NSR:Quay:50723,"5,28278","60,28605",1,2,"8,4",130,502
2023,Håvardstun vest,12015616,Bergen,NSR:Quay:50724,"5,28275","60,28614",2,0,"7,9",387,11
2023,Håvardstun øst,12015614,Bergen,NSR:Quay:50729,"5,28605","60,28579",1,0,"6,4",368,4
2023,Håvardstun øst,12015615,Bergen,NSR:Quay:50730,"5,28629","60,28557",0,1,"7,0",7,353
2023,IKEA,12011215,Bergen,NSR:Quay:53439,"5,33075","60,47316",277,160,"4156,0",72138,41581
2023,IKEA,12011230,Bergen,NSR:Quay:53438,"5,33121","60,47345",132,290,"3973,8",34229,75399
2023,Indre Fjelltveit,12015683,Bergen,NSR:Quay:50941,"5,49789","60,30586",1,0,"12,0",257,2
2023,Indre Fjelltveit,12016630,Bergen,NSR:Quay:50942,"5,4981","60,30581",0,2,"8,5",3,443
2023,Indre Fosse sør,12635108,Alver,NSR:Quay:56473,"5,22487","60,5923",0,3,"20,0",0,901
2023,Indre Hamre,12015653,Bergen,NSR:Quay:100971,"5,38152","60,28305",0,1,"0,1",1,166
2023,Indre Hamre,12015664,Bergen,NSR:Quay:50870,"5,38142","60,28263",1,0,"1,9",251,0
2023,Indre Haugland,12015691,Bergen,NSR:Quay:50969,"5,47928","60,29153",1,0,"20,7",288,0
2023,Indre Haugland,12016622,Bergen,NSR:Quay:50970,"5,4794","60,29143",0,0,"14,3",5,53
2023,Indre Steinsvik,12017617,Bergen,NSR:Quay:51776,"5,30067","60,29946",10,28,"508,0",2609,7293
2023,Indre Steinsvik,12017662,Bergen,NSR:Quay:51777,"5,30084","60,29957",33,8,"543,3",8640,2059
2023,Industrihuset,12011360,Bergen,NSR:Quay:53752,"5,33864","60,46892",23,219,"1400,5",6089,57048
2023,Industrihuset,12011361,Bergen,NSR:Quay:53751,"5,33724","60,46968",202,29,"1632,2",52473,7589
2023,"Industriveien, ved Kongsberg",12462973,Øygarden,NSR:Quay:52337,"5,00325","60,40703",0,0,"1,1",46,14
2023,"Industriveien, ved Kongsberg",12462976,Øygarden,NSR:Quay:52338,"5,00342","60,40619",0,0,"2,4",17,13
2023,Innhella nord,12604319,Alver,NSR:Quay:56011,"4,98777","60,66181",0,0,"29,4",34,109
2023,Innhella nord,12604332,Alver,NSR:Quay:56010,"4,98674","60,66213",0,1,"17,2",4,288
2023,Innhella sør,12604321,Alver,NSR:Quay:56020,"4,99757","60,65887",2,2,"29,7",633,392
2023,Innhella sør,12604330,Alver,NSR:Quay:56021,"4,9977","60,65896",0,1,"17,9",14,369
2023,Instamyra,12462345,Øygarden,NSR:Quay:51360,"5,12529","60,35474",5,10,"145,7",1405,2711
2023,Instamyra,12462354,Øygarden,NSR:Quay:51361,"5,12525","60,35494",10,7,"269,7",2484,1890
2023,Instebø,12604608,Alver,NSR:Quay:56252,"5,05849","60,68086",1,1,"27,7",266,133
2023,Instebø,12604615,Alver,NSR:Quay:56251,"5,05839","60,68072",1,2,"32,0",144,422
2023,Io nord,12563615,Alver,NSR:Quay:58512,"5,02613","60,56016",3,0,"10,0",824,11
2023,Io nord,12563620,Alver,NSR:Quay:58513,"5,02614","60,56022",0,4,"4,6",4,949
2023,Io snuplass,12563622,Alver,NSR:Quay:58520,"5,01984","60,56081",6,4,"6,9",1558,1041
2023,Io sør,12563617,Alver,NSR:Quay:58519,"5,03024","60,55931",2,0,"11,9",499,1
2023,Io sør,12563618,Alver,NSR:Quay:58518,"5,03031","60,55943",0,2,"7,8",14,429
2023,Isdal nedre,12633009,Alver,NSR:Quay:56353,"5,27017","60,56073",2,1,"264,8",424,130
2023,Isdal nedre,12633022,Alver,NSR:Quay:56354,"5,26995","60,56204",1,2,"263,5",166,481
2023,Isdal øvre,12633007,Alver,NSR:Quay:56349,"5,27088","60,57011",1,0,"263,7",293,60
2023,Isdal øvre,12633024,Alver,NSR:Quay:56350,"5,27164","60,57078",0,2,"262,0",62,474
2023,Isdalstø,12633011,Alver,NSR:Quay:56356,"5,27106","60,55463",41,11,"798,5",10652,2720
2023,Isdalstø,12633020,Alver,NSR:Quay:56357,"5,26996","60,55523",11,31,"746,6",2804,8077
2023,Ishuset,12604362,Alver,NSR:Quay:56085,"5,03615","60,65135",0,0,"40,1",2,23
2023,Ishuset,12604377,Alver,NSR:Quay:56086,"5,03593","60,65132",0,0,"19,8",10,3
2023,Janahaugen (nedlagt),12012328,Bergen,NSR:Quay:55184,"5,18051","60,37077",1,5,"33,1",113,1075
2023,Janastølen,12012330,Bergen,NSR:Quay:55187,"5,183","60,3694",2,4,"26,6",490,945
2023,Janastølen,12012331,Bergen,NSR:Quay:55188,"5,18292","60,36974",7,2,"39,3",1856,382
2023,Johan Berentsensvei,12012194,Bergen,NSR:Quay:102171,"5,28758","60,38922",16,18,"15,9",2474,2666
2023,Johan Hjorts vei,12015712,Bergen,NSR:Quay:51015,"5,35748","60,35104",1,1,"7,2",219,223
2023,Jordal,12011262,Bergen,NSR:Quay:53525,"5,34927","60,42972",0,2,"2,7",34,354
2023,Jordal,12011263,Bergen,NSR:Quay:53526,"5,34954","60,42976",4,0,"7,4",766,7
2023,Jordal,12636725,Alver,NSR:Quay:53520,"5,33787","60,68562",0,0,"10,2",7,0
2023,Jordal,12636726,Alver,NSR:Quay:53521,"5,33817","60,68584",0,0,"5,6",1,14
2023,Jordal nord,12636727,Alver,NSR:Quay:57243,"5,33495","60,6919",0,0,"10,2",8,0
2023,Jordal nord,12636728,Alver,NSR:Quay:57244,"5,33441","60,6925",1,0,"5,9",336,22
2023,Jordal snuplass,12011264,Bergen,NSR:Quay:53527,"5,36091","60,42691",4,3,"3,8",886,715
2023,Jordal sør,12636723,Alver,NSR:Quay:57239,"5,33649","60,68229",0,0,"10,3",14,1
2023,Jordal sør,12636724,Alver,NSR:Quay:57240,"5,33687","60,68245",0,0,"5,6",1,49
2023,Jordalsvegen,12011260,Bergen,NSR:Quay:53513,"5,32067","60,43366",0,0,"3,9",1,4
2023,Jordalsvegen,12011261,Bergen,NSR:Quay:53512,"5,32081","60,43374",0,0,"7,4",6,5
2023,Juvikflaten,12473403,Askøy,NSR:Quay:56174,"5,18942","60,43054",113,18,"648,5",29260,4679
2023,Juvikflaten,12473406,Askøy,NSR:Quay:56173,"5,19062","60,43008",19,89,"542,7",4869,23254
2023,Juvikflaten nord,12473405,Askøy,NSR:Quay:56178,"5,184","60,43492",8,0,"561,5",1954,129
2023,Juvikflaten nord,12473408,Askøy,NSR:Quay:56177,"5,18435","60,4349",1,8,"535,9",181,2186
2023,Kaiveg,12015386,Bergen,NSR:Quay:50023,"5,39997","60,48906",0,26,"226,8",78,6750
2023,Kaiveg,12015387,Bergen,NSR:Quay:50021,"5,39975","60,48911",25,1,"274,0",6608,310
2023,Kaland,12011654,Bergen,NSR:Quay:54422,"5,41751","60,27559",4,17,"390,5",1089,4504
2023,Kaland,12011659,Bergen,NSR:Quay:54421,"5,41677","60,27645",25,11,"442,2",6433,2943
2023,Kaland skole,12011652,Bergen,NSR:Quay:54417,"5,40672","60,27956",27,105,"411,0",6986,27329
2023,Kaland skole,12011655,Bergen,NSR:Quay:54416,"5,40408","60,28027",49,14,"512,2",12691,3690
2023,Kaland skole (rundkjøring),12017674,Bergen,NSR:Quay:100977,"5,40468","60,27891",85,27,"75,8",21098,6791
2023,"Kaland, Bontveitvegen",12011668,Bergen,NSR:Quay:54460,"5,41858","60,27605",1,0,"20,6",229,123
2023,Kalandseidet,12011658,Bergen,NSR:Quay:54442,"5,43038","60,26775",18,46,"358,6",4717,11881
2023,Kalandseidet,12011663,Bergen,NSR:Quay:54443,"5,43026","60,26887",38,20,"406,2",9800,5209
2023,Kalfaret,12593321,Øygarden,NSR:Quay:55750,"4,79946","60,65917",2,0,"21,2",415,1
2023,Kalfaret,12593322,Øygarden,NSR:Quay:55751,"4,79967","60,65924",0,1,"17,7",1,375
2023,Kalfarlien,12010107,Bergen,NSR:Quay:53057,"5,34595","60,38735",429,207,"6000,0",111503,53730
2023,Kalfarlien,12010138,Bergen,NSR:Quay:53059,"5,34715","60,38719",184,513,"5729,6",47834,133363
2023,Kalihaugenskiftet,12014276,Bergen,NSR:Quay:55577,"5,45338","60,37454",0,0,"17,2",19,23
2023,Kallestad,12462546,Øygarden,NSR:Quay:51877,"5,03508","60,28319",0,7,"16,5",11,1649
2023,Kallestad,12462547,Øygarden,NSR:Quay:51875,"5,03556","60,28297",9,0,"27,7",2320,15
2023,Kallestad snuplass,12462550,Øygarden,NSR:Quay:51892,"5,03609","60,28806",5,3,"17,5",1309,668
2023,Kallestad utmark,12462544,Øygarden,NSR:Quay:51863,"5,04288","60,28114",0,0,"22,9",0,6
2023,Kallestad utmark,12462545,Øygarden,NSR:Quay:51864,"5,04278","60,28111",0,0,"27,8",24,0
2023,Kallestadhøgda,12462548,Øygarden,NSR:Quay:51883,"5,03549","60,28504",0,2,"14,8",1,441
2023,Kallestadhøgda,12462549,Øygarden,NSR:Quay:51884,"5,03537","60,28504",1,0,"18,6",279,4
2023,Kalnes,12604004,Alver,NSR:Quay:55798,"5,20155","60,59945",1,1,"178,6",287,225
2023,Kalnes,12604009,Alver,NSR:Quay:55797,"5,2011","60,59957",1,1,"189,7",228,327
2023,Kalnes midtre,12604006,Alver,NSR:Quay:55807,"5,19715","60,6025",1,3,"176,9",269,657
2023,Kalnes midtre,12604007,Alver,NSR:Quay:55808,"5,19783","60,6019",2,1,"189,6",458,335
2023,Kalnes nord,12604005,Alver,NSR:Quay:55803,"5,1944","60,6049",2,0,"189,2",416,58
2023,Kalnes nord,12604008,Alver,NSR:Quay:55804,"5,19359","60,60593",0,1,"176,4",14,162
2023,Kalnes sør,12604002,Alver,NSR:Quay:55794,"5,20302","60,59768",2,2,"179,0",546,560
2023,Kalnes sør,12604011,Alver,NSR:Quay:55793,"5,20299","60,59687",2,2,"189,6",556,635
2023,Kalsåsvatn,12015338,Bergen,NSR:Quay:49833,"5,39264","60,45758",1,2,"453,6",158,396
2023,Kalsåsvatn,12015339,Bergen,NSR:Quay:49834,"5,39398","60,45729",1,2,"473,0",327,411
2023,Kalsåsvegen,12015340,Bergen,NSR:Quay:49841,"5,3999","60,45555",6,8,"451,4",1462,2047
