Cluster_A,Cluster_B,Distance_km,total_population,num_businesses,total_boardings,Flow,Estimated_Flow,Optimized_Flow
31,101,155.87558000000007,11356,113,2094849,1,110636998.76539251,110636998.76539251
31,102,34.64210400000001,11356,1,2094849,1,19823009.327308714,19823009.327308714
31,103,61.32011400000002,11356,14,2094849,1,88572771.89355057,88572771.89355057
31,104,20.209024,11356,108,2094849,1,6290876854.257638,6290876854.257638
31,105,56.52415700000001,11356,40,2094849,1,297831007.7358151,297831007.7358151
31,106,4.941131,11356,178,2094849,1,173438446041.464,173438446041.464
31,107,16.259243999999995,11356,24,2094849,1,2159676250.026233,2159676250.026233
31,108,16.505982000000003,11356,11,2094849,1,960479408.32255,960479408.32255
31,109,50.531546,11356,32,2094849,1,298128101.7417637,298128101.7417637
31,110,32.218912,11356,9,2094849,1,206252335.88795063,206252335.88795063
31,111,29.658930000000005,11356,21,2094849,1,567919060.0456967,567919060.0456967
31,112,25.61795899999999,11356,84,2094849,1,3044867097.040627,3044867097.040627
31,113,61.19663999999999,11356,332,2094849,1,2108924516.727417,2108924516.727417
31,114,66.23130799999997,11356,274,2094849,1,1485942507.4557629,1485942507.4557629
31,115,20.873738000000007,11356,36,2094849,1,1965532151.8175912,1965532151.8175912
31,116,41.39850299999998,11356,761,2094849,1,10563151057.484726,10563151057.484726
31,117,51.93261000000002,11356,34,2094849,1,299900179.2625995,299900179.2625995
31,118,66.78902700000003,11356,36,2094849,1,191986360.27856323,191986360.27856323
31,119,32.169508999999984,11356,154,2094849,1,3540054627.3936715,3540054627.3936715
31,120,22.505208000000007,11356,55,2094849,1,2583299350.7489333,2583299350.7489333
31,121,5.595023000000002,11356,6,2094849,1,4559588038.931553,4559588038.931553
31,122,59.83451200000001,11356,20,2094849,1,132893762.26835963,132893762.26835963
31,123,34.085927000000005,11356,630,2094849,1,12899368156.895191,12899368156.895191
31,124,59.48614499999999,11356,71,2094849,1,477314695.54858965,477314695.54858965
31,125,37.98183299999999,11356,177,2094849,1,2918767717.5316367,2918767717.5316367
31,126,18.788899000000004,11356,0,2094849,1,0.0,0.0
31,127,155.87558000000007,11356,25,2094849,1,24477212.116237283,24477212.116237283
31,128,17.183535,11356,60,2094849,1,4833974269.396001,4833974269.396001
31,129,25.098082999999992,11356,37,2094849,1,1397329183.0783284,1397329183.0783284
32,0,22.814038,3239,24,198990,1,29720021.58851807,29720021.58851807
32,1,57.27710000000001,3239,201,198990,1,39489007.21007019,39489007.21007019
32,2,48.129199000000014,3239,16,198990,1,4451895.021838756,4451895.021838756
32,3,61.41306100000004,3239,334,198990,1,57077793.78422582,57077793.78422582
32,4,72.499686,3239,26,198990,1,3188183.404076299,3188183.404076299
32,5,40.191196,3239,27,198990,1,10773184.663272643,10773184.663272643
32,6,36.912755,3239,17,198990,1,8041521.012042518,8041521.012042518
32,7,171.944099,3239,45,198990,1,981025.1975386775,981025.1975386775
32,8,36.77254799999999,3239,285,198990,1,135843734.70491713,135843734.70491713
32,9,9.220744000000002,3239,8,198990,1,60645734.136524364,60645734.136524364
32,10,78.45537999999996,3239,1130,198990,1,118324637.59811395,118324637.59811395
32,11,15.160039,3239,84,198990,1,235570470.31432515,235570470.31432515
32,12,73.14655599999998,3239,32,198990,1,3854822.7440168927,3854822.7440168927
32,13,34.76291599999999,3239,23,198990,1,12266979.458430015,12266979.458430015
32,14,42.557608,3239,180,198990,1,64056069.28440351,64056069.28440351
32,15,31.200448,3239,20,198990,1,13241907.068932652,13241907.068932652
32,16,70.311179,3239,7,198990,1,912623.1462073241,912623.1462073241
32,17,50.51351800000002,3239,185,198990,1,46730313.72304772,46730313.72304772
32,18,26.527136999999996,3239,164,198990,1,150212227.88480836,150212227.88480836
32,19,26.639419999999998,3239,4724,198990,1,4290447171.9909406,4290447171.9909406
32,20,37.56242199999999,3239,239,198990,1,109177444.83187549,109177444.83187549
32,21,186.83154800000003,3239,54,198990,1,997092.6972834091,997092.6972834091
32,22,88.88669099999996,3239,39,198990,1,3181510.2676132517,3181510.2676132517
32,23,79.71418699999997,3239,41,198990,1,4158673.399859842,4158673.399859842
32,24,48.076563,3239,62,198990,1,17288888.158228494,17288888.158228494
32,25,34.333280999999985,3239,47,198990,1,25698598.65901071,25698598.65901071
32,26,33.364211999999995,3239,12,198990,1,6948030.270953904,6948030.270953904
32,27,62.07847000000002,3239,188,198990,1,31442570.254576195,31442570.254576195
32,28,71.29226299999999,3239,2,198990,1,253622.27541619897,253622.27541619897
32,29,42.050113,3239,34,198990,1,12393294.864498077,12393294.864498077
32,30,61.43367599999997,3239,32,198990,1,5464861.659961713,5464861.659961713
32,31,19.891435000000005,3239,747,198990,1,1216831859.211001,1216831859.211001
32,33,59.96041600000007,3239,87,198990,1,15596680.586719645,15596680.586719645
32,34,171.28805700000007,3239,619,198990,1,13598114.165965335,13598114.165965335
32,35,38.34664000000002,3239,35,198990,1,15341068.593344275,15341068.593344275
32,36,50.474587000000014,3239,68,198990,1,17203054.474452633,17203054.474452633
32,37,39.92785799999999,3239,135,198990,1,54578795.10707979,54578795.10707979
32,38,44.345718000000005,3239,46,198990,1,15076365.229999954,15076365.229999954
32,39,54.69326900000007,3239,69,198990,1,14867006.358336756,14867006.358336756
32,40,22.855657,3239,15,198990,1,18507426.75728424,18507426.75728424
32,41,70.27439700000005,3239,548,198990,1,71520164.21858883,71520164.21858883
32,42,70.16885800000006,3239,818,198990,1,107079586.84379882,107079586.84379882
32,43,27.019897999999998,3239,26,198990,1,22953458.79859584,22953458.79859584
32,44,50.76358800000004,3239,184,198990,1,46020931.15702219,46020931.15702219
32,45,45.86979499999999,3239,30,198990,1,9189880.335905517,9189880.335905517
32,46,9.465678,3239,25,198990,1,179836878.31163436,179836878.31163436
32,47,36.500257000000026,3239,12,198990,1,5805392.6850398835,5805392.6850398835
32,48,50.87778700000003,3239,14,198990,1,3485891.056303095,3485891.056303095
32,49,68.58769500000005,3239,45,198990,1,6165414.761979726,6165414.761979726
32,50,30.570009,3239,698,198990,1,481400447.3123733,481400447.3123733
32,51,57.65568300000004,3239,48,198990,1,9306774.5791736,9306774.5791736
32,52,70.70499800000007,3239,25,198990,1,3223160.8558325036,3223160.8558325036
32,53,31.706522,3239,23,198990,1,14745952.321301963,14745952.321301963
32,54,75.34281800000002,3239,3641,198990,1,413408269.18011117,413408269.18011117
32,55,183.850902,3239,403,198990,1,7684501.794013639,7684501.794013639
32,56,23.88160999999999,3239,52,198990,1,58764945.819685966,58764945.819685966
32,57,69.98969900000003,3239,34,198990,1,4473555.869218268,4473555.869218268
32,58,10.083420999999998,3239,89,198990,1,564178337.1598824,564178337.1598824
32,59,28.449207,3239,15,198990,1,11945191.82959091,11945191.82959091
32,60,41.180769,3239,45,198990,1,17102744.557822037,17102744.557822037
32,61,24.625408,3239,428,198990,1,454903312.8226663,454903312.8226663
32,62,11.965926,3239,59,198990,1,265583803.45629475,265583803.45629475
32,63,44.042362,3239,39,198990,1,12958824.330501225,12958824.330501225
32,64,58.84411999999999,3239,217,198990,1,40392040.110333614,40392040.110333614
32,65,5.5880670000000014,3239,16,198990,1,330247070.2428514,330247070.2428514
32,66,67.24147600000003,3239,657,198990,1,93655458.3574498,93655458.3574498
32,67,12.873919000000004,3239,4,198990,1,15555380.782434246,15555380.782434246
32,68,44.566917,3239,245,198990,1,79502923.77159798,79502923.77159798
32,69,50.10903000000005,3239,25,198990,1,6417268.5939907245,6417268.5939907245
32,70,75.20601000000008,3239,60,198990,1,6837358.5398689,6837358.5398689
32,71,46.45848000000003,3239,50,198990,1,14930770.188213162,14930770.188213162
32,72,34.799550999999994,3239,30,198990,1,15966737.07202181,15966737.07202181
32,73,38.442021,3239,258,198990,1,112525119.48054753,112525119.48054753
32,74,52.10290899999999,3239,159,198990,1,37749863.14340272,37749863.14340272
32,75,38.46473100000001,3239,29,198990,1,12633241.513706837,12633241.513706837
32,76,62.06538100000004,3239,96,198990,1,16062553.293181974,16062553.293181974
32,77,50.87778700000003,3239,79,198990,1,19670385.24628175,19670385.24628175
32,78,6.001127,3239,46,198990,1,823255036.4790711,823255036.4790711
