Year,Holdeplassnavn,Holdeplassid,KommuneNavn,NsrQuayID,Longitude,Latitude,Snitt påstigende pr dag,Snitt avstigende pr dag,Snitt ombord pr dag,Totalt påstigende,Totalt avstigende
2024,Arefjord grustak,12462330,Øygarden,NSR:Quay:51303,"5,14372","60,3559",0,2,"12,4",0,81
2023,Arefjordsjøen,12462326,Øygarden,NSR:Quay:51291,"5,14557","60,36093",0,0,"14,2",0,0
2024,Arefjordsjøen,12462326,Øygarden,NSR:Quay:51291,"5,14557","60,36093",0,0,"15,6",0,2
2023,Arna busser,12014254,Bergen,NSR:Quay:55531,"5,4755","60,40738",13,13,"161,8",1334,1315
2024,Arna busser,12014254,Bergen,NSR:Quay:55531,"5,4755","60,40738",13,10,"183,9",1002,781
2023,Arna busser,12014271,Bergen,NSR:Quay:55532,"5,47534","60,40698",13,8,"163,8",1357,855
2024,Arna busser,12014271,Bergen,NSR:Quay:55532,"5,47534","60,40698",11,8,"180,0",846,660
2023,Arna terminal A,12014200,Bergen,NSR:Quay:55433,"5,46457","60,42013",279,270,"261,7",29321,28329
2024,Arna terminal A,12014200,Bergen,NSR:Quay:55433,"5,46457","60,42013",298,289,"287,1",23821,23094
2023,Arna terminal B,12014290,Bergen,NSR:Quay:55434,"5,46445","60,42022",186,163,"175,2",19581,17144
2024,Arna terminal B,12014290,Bergen,NSR:Quay:55434,"5,46445","60,42022",219,183,"212,7",17497,14603
2023,Arna terminal C,12014291,Bergen,NSR:Quay:101576,"5,46412","60,42013",24,26,"245,9",2503,2729
2024,Arna terminal C,12014291,Bergen,NSR:Quay:101576,"5,46412","60,42013",30,32,"375,6",2385,2587
2023,Arnatveit,12014256,Bergen,NSR:Quay:55541,"5,47639","60,40749",0,0,"161,7",14,18
2024,Arnatveit,12014256,Bergen,NSR:Quay:55541,"5,47639","60,40749",0,0,"184,0",18,10
2023,Arnatveit,12014269,Bergen,NSR:Quay:55542,"5,47602","60,40773",1,7,"159,1",113,698
2024,Arnatveit,12014269,Bergen,NSR:Quay:55542,"5,47602","60,40773",1,9,"177,6",72,695
2023,Arseta,12593106,Øygarden,NSR:Quay:58571,"4,91375","60,51037",0,1,"54,4",1,56
2024,Arseta,12593106,Øygarden,NSR:Quay:58571,"4,91375","60,51037",0,0,"52,8",0,4
2023,"Ask, Florida",12473500,Askøy,NSR:Quay:56351,"5,21347","60,4787",2,12,"47,1",215,1280
2024,"Ask, Florida",12473500,Askøy,NSR:Quay:56351,"5,21347","60,4787",2,13,"46,6",187,1050
2023,"Ask, Florida",12473525,Askøy,NSR:Quay:56352,"5,21376","60,47827",13,2,"58,9",1358,166
2024,"Ask, Florida",12473525,Askøy,NSR:Quay:56352,"5,21376","60,47827",14,2,"60,6",1115,170
2023,Askeland,12637309,Alver,NSR:Quay:57548,"5,43487","60,65824",0,0,"0,9",2,0
